Date,Price,Signal,Context,Conviction,Regime,Stop_Loss,Take_Profit,Position_%,R:R,Zone,FVGs,Sweeps,Structure,SMT,Reasons,Smart_Money_Reasons,Warnings
2025-01-30,520.41,LEAN SELL,Fair Value Gap Entry,0.378,Uptrend,538.01,485.21,0.3500,2.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: OBV above its moving average | Bearish: OBV divergence (distribution) | Neutral Pattern: Doji | Bearish: Near R1 resistance (521),[FVG ENTRY] Price filling into bearish FVG (gap: $515-$526) | [FVG ENTRY] Price filling into bearish FVG (gap: $520-$525) | [P/D] Price in PREMIUM zone — favorable for shorts,DISCIPLINE: Selling against uptrend
2025-01-31,519.65,LEAN SELL,Liquidity Sweep Reversal,0.379,Uptrend,537.46,484.03,0.3500,2.0,premium,2,1,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bearish Pattern: Three Black Crows | Bullish: Near S1 support (516) | Bearish: Near R1 resistance (524),"[SWEEP] Bearish liquidity sweep — swept $525.26 highs, reversed to $519.65 (strength: 0.80) | [P/D] Price in PREMIUM zone — favorable for shorts",DISCIPLINE: Selling against uptrend
2025-02-03,515.5,LEAN SELL,Fair Value Gap Entry,0.457,Sideways / Choppy,533.63,479.23,0.3500,2.0,equilibrium,2,1,0,0,Bearish: Price below Parabolic SAR | Bearish: MACD histogram crossed below zero | Bearish: MACD bearish crossover | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bullish: Near S1 support (516),[FVG ENTRY] Price filling into bullish FVG (gap: $503-$509),
2025-02-04,521.82,LEAN SELL,Trend Continuation,0.237,Uptrend,539.65,486.15,0.3500,2.0,premium,2,1,0,0,Bullish: Price above EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bearish: Near R1 resistance (520),[P/D] Price in PREMIUM zone — favorable for shorts,DISCIPLINE: Selling against uptrend
2025-02-05,524.19,HOLD,Momentum Shift,0.363,Uptrend,508.46,550.4,0.0000,0.0,premium,2,1,0,0,Bullish: Price above EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: MACD histogram crossed above zero | Bullish: MACD bullish crossover | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bullish Pattern: Three White Soldiers | Bearish: Near R1 resistance (524),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.36 < 0.40
2025-02-06,526.93,HOLD,Mean Reversion / Reversal,0.264,Uptrend,511.12,553.28,0.0000,0.0,premium,2,1,0,0,Bullish: Price above EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bearish: Stochastic overbought (82) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (526),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.26 < 0.40
2025-02-07,520.28,LEAN SELL,Standard Technical Signal,0.274,Uptrend,537.29,486.26,0.3500,2.0,premium,2,1,0,0,Bullish: Price above Parabolic SAR | Bearish: RSI negative divergence | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Bearish Pattern: Bearish Engulfing | Bullish: Near S1 support (524),[P/D] Price in PREMIUM zone — favorable for shorts,DISCIPLINE: Selling against uptrend
2025-02-10,526.58,HOLD,Mean Reversion / Reversal,0.249,Uptrend,510.78,552.91,0.0000,0.0,premium,2,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI negative divergence | Bearish: Stochastic overbought (81) | Bullish: OBV above its moving average | Bearish: Near R1 resistance (527),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.25 < 0.40
2025-02-11,525.33,HOLD,Trend Continuation,0.216,Uptrend,509.57,551.6,0.0000,0.0,premium,2,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bullish: Near S1 support (525) | Bearish: Near R1 resistance (528),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.22 < 0.40
2025-02-12,525.63,LEAN BUY,Trend Continuation,0.54,Uptrend,509.53,557.82,0.3500,2.0,premium,2,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bullish: Near S1 support (523) | Bearish: Near R1 resistance (527),[P/D] Price in PREMIUM zone — favorable for shorts,
2025-02-13,533.2,LEAN BUY,Break of Structure,0.434,Uptrend,517.13,565.35,0.3500,2.0,premium,2,0,1,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.5) | Bearish: Stochastic overbought (99) | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bearish: Near R2 strong resistance (531),[STRUCTURE] Bullish BOS — broke above $531.13 | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-02-14,535.43,HOLD,Mean Reversion / Reversal,0.245,Uptrend,519.37,562.2,0.0000,0.0,premium,2,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (61.9) | Bearish: Stochastic overbought (98) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band | Bullish: Walking upper Bollinger Band | Bearish: Near R1 resistance (536),[FVG] Bullish Fair Value Gap formed (0.8x ATR) | [P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.25 < 0.40
2025-02-18,536.65,HOLD,Mean Reversion / Reversal,0.334,Uptrend,520.55,563.48,0.0000,0.0,premium,3,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (62.7) | Bearish: Stochastic overbought (98) | Bullish: OBV above its moving average | Bullish: Walking upper Bollinger Band | Neutral Pattern: Doji | Bullish: Near S1 support (534) | Bearish: Near R1 resistance (537),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.33 < 0.40
2025-02-19,536.8,HOLD,Mean Reversion / Reversal,0.334,Uptrend,520.7,563.64,0.0000,0.0,premium,3,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (62.8) | Bearish: Stochastic overbought (96) | Bullish: OBV above its moving average | Bullish: Walking upper Bollinger Band | Bullish: Near S1 support (534) | Bearish: Near R1 resistance (538),[P/D] Price in PREMIUM zone — favorable for shorts,PATIENCE: Conviction 0.33 < 0.40
2025-02-20,534.52,LEAN BUY,Fair Value Gap Entry,0.616,Uptrend,520.15,563.27,0.3500,2.0,premium,3,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.1) | Bearish: Stochastic overbought (88) | Bullish: OBV above its moving average | Bullish Pattern: Hammer | Bullish: Near S1 support (534),[FVG ENTRY] Price filling into bullish FVG (gap: $527-$533) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-02-21,523.43,LEAN SELL,Displacement / Momentum Entry,0.203,Uptrend,538.58,493.13,0.3500,2.0,premium,3,0,0,0,Bullish: Price above Parabolic SAR | Bearish: Volume surge (1.7x avg) on down day | Bullish: OBV above its moving average | Bearish Pattern: Evening Star | Bullish: Near S2 strong support (527),[DISPLACEMENT] Bearish displacement candle (1.6x ATR body) | [P/D] Price in PREMIUM zone — favorable for shorts,DISCIPLINE: Selling against uptrend
2025-02-24,517.25,HOLD,Mean Reversion / Reversal,0.615,Sideways / Choppy,501.73,543.11,0.0000,0.0,equilibrium,2,0,0,0,Bearish: Price below Parabolic SAR | Bearish: MACD histogram crossed below zero | Bearish: MACD bearish crossover | Bullish: Stochastic oversold (7) | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows | Bullish: Near S1 support (519),[FVG] Bearish Fair Value Gap formed (0.4x ATR),PATIENCE: Sideways chop — waiting
2025-02-25,510.73,HOLD,Fair Value Gap Entry,0.276,Sideways / Choppy,495.41,536.27,0.0000,0.0,equilibrium,3,0,0,0,Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (39.4) | Bullish: Stochastic oversold (12) | Bearish: Volume surge (1.7x avg) on down day | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows | Bullish: Near S1 support (514),[FVG] Bearish Fair Value Gap formed (0.8x ATR) | [FVG ENTRY] Price filling into bullish FVG (gap: $503-$509),PATIENCE: Conviction 0.28 < 0.34
2025-02-26,511.96,LEAN SELL,Fair Value Gap Entry,0.535,Sideways / Choppy,527.81,480.25,0.3500,2.0,equilibrium,4,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Fresh EMA 9/21 death cross | Bearish: Price below Parabolic SAR | Bullish: Stochastic oversold (16) | Bearish: OBV below its moving average,[FVG ENTRY] Price filling into bullish FVG (gap: $503-$509) | [FVG ENTRY] Price filling into bearish FVG (gap: $517-$523),
2025-02-27,497.75,SELL,Break of Structure,0.704,Sideways / Choppy,515.18,462.9,0.3500,2.0,discount,4,0,1,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (32.4) | Bullish: Stochastic oversold (1) | Bearish: Volume surge (1.7x avg) on down day | Bearish: OBV below its moving average | Bullish: Price at lower Bollinger Band | Bearish: Walking lower Bollinger Band | Bearish Pattern: Three Black Crows,[STRUCTURE] Bearish CHoCH — broke below $507.58 | [DISPLACEMENT] Bearish displacement candle (2.0x ATR body) | [P/D] Price in DISCOUNT zone — favorable for longs,
2025-02-28,505.61,HOLD,Mean Reversion / Reversal,0.214,Sideways / Choppy,490.44,530.89,0.0000,0.0,equilibrium,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (39.7) | Bullish: Volume surge (1.5x avg) on up day | Bearish: OBV below its moving average,,PATIENCE: Conviction 0.21 < 0.40
2025-03-03,494.54,HOLD,Mean Reversion / Reversal,0.276,Sideways / Choppy,479.7,519.27,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (34.1) | Bullish: Stochastic oversold (7) | Bearish: OBV below its moving average | Bullish: Price at lower Bollinger Band | Bearish: Walking lower Bollinger Band | Bearish Pattern: Bearish Engulfing | Bullish: Near S1 support (498),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.28 < 0.40
2025-03-04,493.05,HOLD,Mean Reversion / Reversal,0.31,Sideways / Choppy,478.26,517.7,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (33.4) | Bullish: Stochastic oversold (15) | Bullish: Volume surge (2.1x avg) on up day | Bearish: OBV below its moving average | Bullish: Price at lower Bollinger Band | Bearish: Walking lower Bollinger Band | Neutral Pattern: Doji,[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.31 < 0.40
2025-03-05,499.48,HOLD,Mean Reversion / Reversal,0.648,Sideways / Choppy,484.5,524.45,0.0000,0.0,equilibrium,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (39.1) | Bearish: OBV below its moving average | Bearish: Walking lower Bollinger Band | Bearish: Near R1 resistance (501),,PATIENCE: Sideways chop — waiting
2025-03-06,485.74,HOLD,Mean Reversion / Reversal,0.342,Sideways / Choppy,471.17,510.03,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (32.7) | Bullish: Stochastic oversold (4) | Bearish: Volume surge (1.6x avg) on down day | Bearish: OBV below its moving average | Bearish: Walking lower Bollinger Band | Bullish: Near S2 strong support (484),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.34 < 0.40
2025-03-07,489.31,HOLD,Mean Reversion / Reversal,0.309,Sideways / Choppy,474.63,513.78,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (35.6) | Bullish: Stochastic oversold (19) | Bearish: OBV below its moving average | Bearish: Near R1 resistance (493),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.31 < 0.40
2025-03-10,470.34,HOLD,Mean Reversion / Reversal,0.4,Sideways / Choppy,456.23,493.86,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: RSI oversold at 28.5 | Bullish: Stochastic oversold (6) | Bullish: MFI oversold (15) — institutional buying | Bearish: Volume surge (1.9x avg) on down day | Bearish: OBV below its moving average | Bullish: Price at lower Bollinger Band | Bearish: Walking lower Bollinger Band | Bullish: Near S2 strong support (473),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Sideways chop — waiting
2025-03-11,469.22,HOLD,Mean Reversion / Reversal,0.307,Sideways / Choppy,455.14,492.68,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: RSI oversold at 28.2 | Bullish: Stochastic oversold (6) | Bullish: MFI oversold (11) — institutional buying | Bearish: Volume surge (1.6x avg) on down day | Bearish: OBV below its moving average | Neutral Pattern: Doji | Bullish: Near S1 support (464),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.31 < 0.40
2025-03-12,474.51,HOLD,Mean Reversion / Reversal,0.348,Sideways / Choppy,460.27,498.24,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (32.5) | Bullish: Stochastic oversold (14) | Bullish: MFI oversold (17) — institutional buying | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows | Bearish: Near R1 resistance (476),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.35 < 0.40
2025-03-13,465.98,HOLD,Mean Reversion / Reversal,0.313,Sideways / Choppy,452.0,489.28,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: RSI oversold at 29.4 | Bullish: Stochastic oversold (3) | Bullish: MFI oversold (18) — institutional buying | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows | Bullish: Near S1 support (470),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.31 < 0.40
2025-03-14,477.24,HOLD,Mean Reversion / Reversal,0.437,Sideways / Choppy,462.92,501.1,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (37.8) | Bearish: OBV below its moving average | Bearish: Near R1 resistance (472),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Sideways chop — waiting
2025-03-17,480.33,HOLD,Mean Reversion / Reversal,0.185,Sideways / Choppy,465.92,504.35,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bullish: RSI approaching oversold (39.9) | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bearish: Near R1 resistance (480),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.19 < 0.40
2025-03-18,472.15,HOLD,Mean Reversion / Reversal,0.352,Sideways / Choppy,457.99,495.76,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bullish: RSI approaching oversold (36.4) | Bullish: Stochastic oversold (15) | Bearish: OBV below its moving average | Bullish: Near S1 support (476),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.35 < 0.40
2025-03-19,478.46,HOLD,Trend Continuation,0.174,Sideways / Choppy,464.11,502.38,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bearish: Near R1 resistance (476),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.17 < 0.40
2025-03-20,476.84,HOLD,Mean Reversion / Reversal,0.497,Sideways / Choppy,462.53,500.68,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bullish: RSI approaching oversold (39.9) | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bullish Pattern: Inverted Hammer | Bullish: Near S1 support (473),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Sideways chop — waiting
2025-03-21,478.41,HOLD,Momentum Shift,0.624,Sideways / Choppy,464.06,502.33,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bullish: MACD histogram crossed above zero | Bullish: MACD bullish crossover | Bearish: OBV below its moving average | Bullish Pattern: Three White Soldiers | Bullish: Near S1 support (473) | Bearish: Near R1 resistance (481),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Sideways chop — waiting
2025-03-24,488.91,HOLD,Standard Technical Signal,0.338,Sideways / Choppy,474.24,513.36,0.0000,0.0,equilibrium,3,0,0,0,Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bullish: OBV above its moving average | Bearish: Near R2 strong resistance (485),,PATIENCE: Conviction 0.34 < 0.40
2025-03-25,491.7,HOLD,Mean Reversion / Reversal,0.509,Sideways / Choppy,476.95,516.28,0.0000,0.0,equilibrium,3,0,0,0,Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bearish: Stochastic overbought (86) | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bearish: Near R1 resistance (492),[FVG] Bullish Fair Value Gap formed (0.9x ATR),PATIENCE: Sideways chop — waiting
2025-03-26,482.65,HOLD,Trend Continuation,0.526,Sideways / Choppy,468.17,506.78,0.0000,0.0,discount,4,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bullish: OBV above its moving average | Bullish: Near S2 strong support (488),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Sideways chop — waiting
2025-03-27,479.9,HOLD,Trend Continuation,0.26,Sideways / Choppy,465.5,503.89,0.0000,0.0,discount,3,0,0,0,Bearish: Price below EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bullish: Near S1 support (479),[FVG] Bearish Fair Value Gap formed (0.4x ATR) | [P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.26 < 0.40
2025-03-28,467.27,HOLD,Mean Reversion / Reversal,0.236,Sideways / Choppy,453.25,490.63,0.0000,0.0,discount,4,0,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (37.2) | Bullish: RSI positive divergence | Bullish: Stochastic oversold (11) | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows,[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.24 < 0.40
2025-03-31,467.25,LEAN BUY,Liquidity Sweep Reversal,0.524,Sideways / Choppy,446.4,508.95,0.3500,2.0,discount,4,1,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (37.2) | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bullish: Near S1 support (463),"[FVG] Bearish Fair Value Gap formed (1.0x ATR) | [FVG ENTRY] Price filling into bullish FVG (gap: $455-$463) | [SWEEP] Bullish liquidity sweep — swept $464.08 lows, reversed to $467.25 (strength: 1.00) | [P/D] Price in DISCOUNT zone — favorable for longs",
2025-04-01,471.02,LEAN SELL,Liquidity Sweep Reversal,0.389,Sideways / Choppy,491.69,429.68,0.3500,2.0,discount,4,2,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: RSI positive divergence | Bearish: OBV below its moving average | Bearish: Near R1 resistance (472),"[FVG ENTRY] Price filling into bearish FVG (gap: $468-$479) | [SWEEP] Bullish liquidity sweep — swept $464.08 lows, reversed to $471.02 (strength: 0.68) | [P/D] Price in DISCOUNT zone — favorable for longs",
2025-04-02,474.45,HOLD,Trend Continuation,0.164,Sideways / Choppy,460.22,498.17,0.0000,0.0,discount,4,2,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers | Bearish: Near R1 resistance (474),[P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Conviction 0.16 < 0.40
2025-04-03,449.05,HOLD,Break of Structure,0.672,Volatile / Uncertain,435.58,471.5,0.0000,0.0,discount,3,2,1,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (31.7) | Bearish: MACD histogram crossed below zero | Bearish: MACD bearish crossover | Bullish: Stochastic oversold (1) | Bearish: Volume surge (1.5x avg) on down day | Bearish: OBV below its moving average | Bullish: Price at lower Bollinger Band,[FVG] Bearish Fair Value Gap formed (0.4x ATR) | [STRUCTURE] Bearish BOS — broke below $464.08 | [P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Volatile — need higher conviction
2025-04-04,421.16,HOLD,Mean Reversion / Reversal,0.461,Volatile / Uncertain,408.53,442.22,0.0000,0.0,discount,4,2,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: RSI oversold at 24.3 | Bullish: Stochastic oversold (0) | Bearish: Volume surge (2.4x avg) on down day | Bearish: OBV below its moving average | Bullish: Price at lower Bollinger Band | Bearish: Walking lower Bollinger Band,[FVG] Bearish Fair Value Gap formed (2.0x ATR) | [P/D] Price in DISCOUNT zone — favorable for longs,PATIENCE: Volatile — need higher conviction
2025-04-07,422.18,LEAN BUY,Fair Value Gap Entry,0.376,Volatile / Uncertain,392.56,481.42,0.3500,2.0,discount,5,2,0,0,Bearish: Price below EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: RSI oversold at 25.0 | Bullish: Volume surge (3.0x avg) on up day | Bullish: OBV above its moving average | Bullish: Price at lower Bollinger Band | Bearish: Walking lower Bollinger Band | Bullish: Near S1 support (415),[FVG] Bearish Fair Value Gap formed (0.5x ATR) | [FVG ENTRY] Price filling into bearish FVG (gap: $439-$464) | [P/D] Price in DISCOUNT zone — favorable for longs,
